fofem_cd,bark_equation,bark_thickness_per_inch
ABAM,26,0.047
ABBA,10,0.031
ABBAB,10,0.031
ABBAP,10,0.031
ABCO,27,0.048
ABCOC,27,0.048
ABGR,25,0.046
ABGRG,25,0.046
ABGRI,25,0.046
ABGRI2,25,0.046
ABGRJ,25,0.046
ABISPP,30,0.052
ABLA,20,0.041
ABLAA,20,0.041
ABLAL,10,0.031
ABLO,27,0.048
ABMA,18,0.039
ABMAC,36,0.063
ABMAM,36,0.063
ABMAS,36,0.063
ABMAS2,36,0.063
ABNO,24,0.045
ABPR,24,0.045
ACBA3,8,0.029
ACBAL,8,0.029
ACBAV,8,0.029
ACESPP,8,0.029
ACLE,8,0.029
ACMA3,3,0.024
ACNE12,13,0.034
ACNE2,13,0.034
ACNEA,13,0.034
ACNEC,13,0.034
ACNEC2,13,0.034
ACNEI,13,0.034
ACNEL,13,0.034
ACNEN,13,0.034
ACNET,13,0.034
ACNEV,13,0.034
ACNEV2,13,0.034
ACNI5,14,0.035
ACNIP,14,0.035
ACPE,24,0.045
ACRU,7,0.028
ACRUD,7,0.028
ACRUD2,7,0.028
ACRUR,7,0.028
ACRUT,7,0.028
ACRUT2,7,0.028
ACRUT3,7,0.028
ACSA2,10,0.031
ACSA3,12,0.033
ACSAG,12,0.033
ACSAL3,10,0.031
ACSAO,12,0.033
ACSAR,12,0.033
ACSAS,12,0.033
ACSAS2,12,0.033
ACSAS4,12,0.033
ACSAW,10,0.031
ACSP2,19,0.04
AEFL,29,0.05
AEGL,15,0.036
AEGLA,15,0.036
AEGLB,15,0.036
AEGLG,15,0.036
AEGLL,15,0.036
AEGLM,15,0.036
AEGLM2,15,0.036
AEGLP,15,0.036
AEGLS,15,0.036
AEOC2,29,0.05
AIAL,29,0.05
ALOR,1,0.019
ALRH2,1,0.019
ALRHB,1,0.019
ALRU2,1,0.019
AMAR3,29,0.05
AMARA3,29,0.05
AMARA4,29,0.05
AMARA5,29,0.05
ARME,34,0.06
BEAL2,10,0.031
BEALA,10,0.031
BEALF,10,0.031
BEALM,10,0.031
BELE,9,0.03
BENI,8,0.029
BEOC2,1,0.019
BEOCI,1,0.019
BEPA,1,0.019
BEPAC,1,0.019
BEPAC2,1,0.019
BEPAE,1,0.019
BEPAK,1,0.019
BEPAM2,1,0.019
BEPAP,1,0.019
BEPAP2,1,0.019
BETSPP,1,0.019
CAAL27,22,0.043
CAAM29,19,0.04
CAAQ2,19,0.04
CAAQA3,19,0.04
CACA18,9,0.03
CACA38,19,0.04
CACAC2,9,0.03
CACAV,9,0.03
CACAV2,9,0.03
CACH6,24,0.045
CACHM,24,0.045
CACO15,16,0.037
CACOL3,16,0.037
CADE12,19,0.04
CADE27,34,0.06
CAGL8,16,0.037
CAGLG2,16,0.037
CAGLH,16,0.037
CAGLM,16,0.037
CAIL2,15,0.036
CALA21,22,0.043
CANO9,2,0.022
CAOV2,19,0.04
CAOVA,19,0.04
CAOVC,19,0.04
CAOVF,19,0.04
CAOVN,19,0.04
CAOVP,19,0.04
CARSPP,23,0.044
CATE9,19,0.04
CATEA,19,0.04
CATEV,19,0.04
CATO6,22,0.043
CATOS,22,0.043
CATSPP,16,0.037
CECA4,14,0.035
CECAC,14,0.035
CECAM,14,0.035
CECAM2,14,0.035
CECAT,14,0.035
CECAT2,14,0.035
CELA,15,0.036
CELAA,15,0.036
CELAB,15,0.036
CELAB2,15,0.036
CELAL,15,0.036
CELAR,15,0.036
CELAT8,15,0.036
CEOC,14,0.035
CEOCC,14,0.035
CEOCC3,14,0.035
CEOCC4,14,0.035
CEOCO2,14,0.035
CEOCP,14,0.035
CHCHC4,24,0.045
CHCHM,24,0.045
CHLA,39,0.081
CHNO,2,0.022
CHTH2,4,0.025
CHTHH,4,0.025
COFL2,20,0.041
CONU4,35,0.062
CORSPP,10,0.031
CRASPP,35,0.062
CRDO2,17,0.038
CRDOD,17,0.038
CUNO,2,0.022
CUTH,4,0.025
CUTHH,4,0.025
DIVI5,20,0.041
DIVIM2,20,0.041
DIVIP2,20,0.041
DIVIP3,20,0.041
DIVIV4,20,0.041
FAGR,4,0.025
FAGRC,4,0.025
FAGRH,4,0.025
FRAM2,21,0.042
FRAMB,21,0.042
FRAMC,21,0.042
FRAMC2,21,0.042
FRAMJ,21,0.042
FRAMM,21,0.042
FRASPP,21,0.042
FRNI,14,0.035
FRPE,18,0.039
FRPEA,18,0.039
FRPEI,18,0.039
FRPEL,18,0.039
FRPES,18,0.039
FRPR,16,0.037
FRQU,9,0.03
GLTR,17,0.038
GLTRI,17,0.038
GOLA,17,0.038
GYDI,10,0.031
HALSPP,17,0.038
ILOP,21,0.042
ILOPA,21,0.042
ILOPO,21,0.042
JUCI,20,0.041
JUNI,20,0.041
JUNSPP,19,0.04
JUOC,24,0.045
JUOCO,24,0.045
JUVI,19,0.04
JUVIC,19,0.04
JUVIC2,19,0.04
JUVIS,19,0.04
JUVIS3,19,0.04
JUVIV,19,0.04
LALA,10,0.031
LALAA5,10,0.031
LALAA9,10,0.031
LALY,29,0.05
LAOC,36,0.063
LIDE,34,0.06
LIDE3,30,0.052
LIDED2,30,0.052
LIDEE,30,0.052
LIST2,34,0.06
LITU,29,0.05
MAAC,15,0.036
MAACC2,15,0.036
MAACO,15,0.036
MAACS,15,0.036
MAGR4,12,0.033
MAGSPP,18,0.039
MALPRU,17,0.038
MALSPP,22,0.043
MAMA2,12,0.033
MAPO,16,0.037
MAVI2,19,0.04
MAVIA2,19,0.04
MAVIP,19,0.04
MAVIT2,19,0.04
MOAL,17,0.038
MOALM,17,0.038
MOALT,17,0.038
MORSPP,12,0.033
MORU2,17,0.038
MORUR,17,0.038
MORUT,17,0.038
NYAQ2,32,0.057
NYBI,32,0.057
NYOG,32,0.057
NYSSPP,23,0.044
NYSY,32,0.057
NYSYB,32,0.057
NYSYC,32,0.057
NYSYD,32,0.057
NYSYT,32,0.057
NYSYU,32,0.057
NYUR2,32,0.057
OSVI,16,0.037
OSVIC,16,0.037
OSVIL,16,0.037
OSVIV,16,0.037
OXAR,15,0.036
PATO2,29,0.05
PEBO,17,0.038
PIAB,8,0.029
PIAL,9,0.03
PIAT,9,0.03
PIBA2,19,0.04
PICL,14,0.035
PICLI,14,0.035
PICLI2,14,0.035
PICO,7,0.028
PICOB,7,0.028
PICOB2,7,0.028
PICOC,7,0.028
PICOC2,7,0.028
PICOL,7,0.028
PICOL2,7,0.028
PICOM,7,0.028
PICOM4,7,0.028
PICSPP,13,0.034
PIEC2,16,0.037
PIEL,31,0.055
PIELA,31,0.055
PIELA2,31,0.055
PIELD,31,0.055
PIELE2,31,0.055
PIEN,15,0.036
PIENE,15,0.036
PIENM,15,0.036
PIENM2,15,0.036
PIFL2,9,0.03
PIFLA,9,0.03
PIFLA2,9,0.03
PIFLC,9,0.03
PIFLC2,9,0.03
PIGL,4,0.025
PIGL2,14,0.035
PIJE,37,0.068
PIJEK,37,0.068
PILA,38,0.072
PIMA,11,0.032
PIMAM4,11,0.032
PIMO3,14,0.035
PINSPP,9,0.03
PIPA2,100,0
PIPO,36,0.063
PIPO_BH,36,0.063
PIPOB,36,0.063
PIPOB2,36,0.063
PIPOB3,36,0.063
PIPOB3K,36,0.063
PIPOBK,36,0.063
PIPOK,36,0.063
PIPOP,36,0.063
PIPOP2,36,0.063
PIPOP2K,36,0.063
PIPOPK,36,0.063
PIPOS,36,0.063
PIPOS2,36,0.063
PIPOS2K,36,0.063
PIPOSK,36,0.063
PIPOW,36,0.063
PIPOW2,36,0.063
PIPOW2K,36,0.063
PIPOWK,36,0.063
PIPU,10,0.031
PIPU5,19,0.04
PIPUA,10,0.031
PIPUG3,10,0.031
PIRE,22,0.043
PIRI,24,0.045
PIRU,13,0.034
PISA2,12,0.033
PISE,35,0.062
PISI,6,0.027
PIST,24,0.045
PISY,9,0.03
