"fofem_cd","bark_thickness_per_inch"
"ABAM","0.047"
"ABBA","0.031"
"ABBAB","0.031"
"ABBAP","0.031"
"ABISPP","0.052"
"ABLAL","0.031"
"ABNO","0.045"
"ABPR","0.045"
"ACBA3","0.029"
"ACBAL","0.029"
"ACBAV","0.029"
"ACESPP","0.029"
"ACLE","0.029"
"ACMA3","0.024"
"ACNE12","0.034"
"ACNE2","0.034"
"ACNEA","0.034"
"ACNEC","0.034"
"ACNEC2","0.034"
"ACNEI","0.034"
"ACNEL","0.034"
"ACNEN","0.034"
"ACNET","0.034"
"ACNEV","0.034"
"ACNEV2","0.034"
"ACNI5","0.035"
"ACNIP","0.035"
"ACPE","0.045"
"ACRU","0.028"
"ACRUD","0.028"
"ACRUD2","0.028"
"ACRUR","0.028"
"ACRUT","0.028"
"ACRUT2","0.028"
"ACRUT3","0.028"
"ACSA2","0.031"
"ACSA3","0.033"
"ACSAG","0.033"
"ACSAL3","0.031"
"ACSAO","0.033"
"ACSAR","0.033"
"ACSAS","0.033"
"ACSAS2","0.033"
"ACSAS4","0.033"
"ACSAW","0.031"
"ACSP2","0.040"
"AEFL","0.050"
"AEGL","0.036"
"AEGLA","0.036"
"AEGLB","0.036"
"AEGLG","0.036"
"AEGLL","0.036"
"AEGLM","0.036"
"AEGLM2","0.036"
"AEGLP","0.036"
"AEGLS","0.036"
"AEOC2","0.050"
"AIAL","0.050"
"ALOR","0.019"
"ALRH2","0.019"
"ALRHB","0.019"
"ALRU2","0.019"
"AMAR3","0.050"
"AMARA3","0.050"
"AMARA4","0.050"
"AMARA5","0.050"
"ARME","0.060"
"BEAL2","0.031"
"BEALA","0.031"
"BEALF","0.031"
"BEALM","0.031"
"BELE","0.030"
"BENI","0.029"
"BEOC2","0.019"
"BEOCI","0.019"
"BEPA","0.019"
"BEPAC","0.019"
"BEPAC2","0.019"
"BEPAE","0.019"
"BEPAK","0.019"
"BEPAM2","0.019"
"BEPAP","0.019"
"BEPAP2","0.019"
"BETSPP","0.019"
"CAAL27","0.043"
"CAAM29","0.040"
"CAAQ2","0.040"
"CAAQA3","0.040"
"CACA18","0.030"
"CACA38","0.040"
"CACAC2","0.030"
"CACAV","0.030"
"CACAV2","0.030"
"CACH6","0.045"
"CACHM","0.045"
"CACO15","0.037"
"CACOL3","0.037"
"CADE12","0.040"
"CAGL8","0.037"
"CAGLG2","0.037"
"CAGLH","0.037"
"CAGLM","0.037"
"CAIL2","0.036"
"CALA21","0.043"
"CANO9","0.022"
"CAOV2","0.040"
"CAOVA","0.040"
"CAOVC","0.040"
"CAOVF","0.040"
"CAOVN","0.040"
"CAOVP","0.040"
"CARSPP","0.044"
"CATE9","0.040"
"CATEA","0.040"
"CATEV","0.040"
"CATO6","0.043"
"CATOS","0.043"
"CATSPP","0.037"
"CECA4","0.035"
"CECAC","0.035"
"CECAM","0.035"
"CECAM2","0.035"
"CECAT","0.035"
"CECAT2","0.035"
"CELA","0.036"
"CELAA","0.036"
"CELAB","0.036"
"CELAB2","0.036"
"CELAL","0.036"
"CELAR","0.036"
"CELAT8","0.036"
"CEOC","0.035"
"CEOCC","0.035"
"CEOCC3","0.035"
"CEOCC4","0.035"
"CEOCO2","0.035"
"CEOCP","0.035"
"CHCHC4","0.045"
"CHCHM","0.045"
"CHLA","0.081"
"CHNO","0.022"
"CHTH2","0.025"
"CHTHH","0.025"
"COFL2","0.041"
"CONU4","0.062"
"CORSPP","0.031"
"CRASPP","0.062"
"CRDO2","0.038"
"CRDOD","0.038"
"CUNO","0.022"
"CUTH","0.025"
"CUTHH","0.025"
"DIVI5","0.041"
"DIVIM2","0.041"
"DIVIP2","0.041"
"DIVIP3","0.041"
"DIVIV4","0.041"
"FAGR","0.025"
"FAGRC","0.025"
"FAGRH","0.025"
"FRAM2","0.042"
"FRAMB","0.042"
"FRAMC","0.042"
"FRAMC2","0.042"
"FRAMJ","0.042"
"FRAMM","0.042"
"FRASPP","0.042"
"FRNI","0.035"
"FRPE","0.039"
"FRPEA","0.039"
"FRPEI","0.039"
"FRPEL","0.039"
"FRPES","0.039"
"FRPR","0.037"
"FRQU","0.030"
"GLTR","0.038"
"GLTRI","0.038"
"GOLA","0.038"
